Date,Price_INR
2011-01-31,2024.55
2011-02-28,2043.54
2011-03-31,2088.77
2011-04-30,2150.2
2011-05-31,2214.48
2011-06-30,2243.97
2011-07-31,2265.81
2011-08-31,2603.0
2011-09-30,2741.83
2011-10-31,2676.52
2011-11-30,2854.0
2011-12-31,2819.32
2012-01-31,2763.58
2012-02-29,2827.48
2012-03-31,2794.29
2012-04-30,2854.37
2012-05-31,2882.29
2012-06-30,2989.83
2012-07-31,2951.0
2012-08-31,3026.32
2012-09-30,3164.07
2012-10-31,3113.06
2012-11-30,3155.2
2012-12-31,3104.81
2013-01-31,3066.9
2013-02-28,3007.83
2013-03-31,2954.13
2013-04-30,2764.13
2013-05-31,2657.55
2013-06-30,2715.13
2013-07-31,2680.1
2013-08-31,3016.45
2013-09-30,3084.97
2013-10-31,2960.65
2013-11-30,3004.13
2013-12-31,2902.77
2014-01-31,2919.39
2014-02-28,2954.11
2014-03-31,2978.55
2014-04-30,2860.77
2014-05-31,2803.23
2014-06-30,2692.07
2014-07-31,2786.65
2014-08-31,2823.87
2014-09-30,2699.83
2014-10-31,2701.71
2014-11-30,2611.7
2014-12-31,2682.26
2015-01-31,2741.45
2015-02-28,2668.75
2015-03-31,2616.52
2015-04-30,2676.2
2015-05-31,2704.48
2015-06-30,2679.03
2015-07-31,2555.26
2015-08-31,2591.39
2015-09-30,2637.87
2015-10-31,2669.61
2015-11-30,2546.93
2015-12-31,2528.84
2016-01-31,2599.26
2016-02-29,2867.1
2016-03-31,2916.23
2016-04-30,2906.57
2016-05-31,2967.58
2016-06-30,3027.4
2016-07-31,3126.29
2016-08-31,3126.48
2016-09-30,3107.13
2016-10-31,2990.39
2016-11-30,2944.63
2016-12-31,2749.13
2017-01-31,2827.94
2017-02-28,2924.68
2017-03-31,2867.58
2017-04-30,2901.97
2017-05-31,2844.94
2017-06-30,2881.17
2017-07-31,2820.81
2017-08-31,2900.35
2017-09-30,2986.13
2017-10-31,2954.87
2017-11-30,2942.23
2017-12-31,2868.58
2018-01-31,2966.71
2018-02-28,3039.43
2018-03-31,3046.71
2018-04-30,3108.67
2018-05-31,3117.32
2018-06-30,3083.03
2018-07-31,3011.03
2018-08-31,2968.58
2018-09-30,3053.37
2018-10-31,3166.13
2018-11-30,3130.25
